company_name,role,country,date,hr_name
PROSTEP AG c,Marketing Executive,Germany,06-05-2026,Hiring Manager
PROSTEP AG d,Marketing Coordinator,Germany,06-05-2026,Hiring Manager
PROSTEP AG e,Digital Marketing Executive,Germany,06-05-2026,Hiring Manager
Cloud Consulting Europe a,Brand Executive,Germany,06-05-2026,Hiring Manager
5 POINT AG a,PR Executive,Germany,06-05-2026,Hiring Manager
MTG AG a,Client Services Executive,Germany,06-05-2026,Hiring Manager
Netwise Solutions a,Marketing Assistant,Germany,06-05-2026,Hiring Manager
